ITEM_NAME,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
BATTER MUFFIN LEMON POPPYSEED,SYSCO,BAKER'S SOURCE,1795574,CASE,2,8 LB,49.22,9/5/2025,BAKERY,
BATTER MUFFING BLUEBERRY,SYSCO,PILLSBURY BAKERIES,1357854,CASE,6,3 LB,82.96,9/26/2025,BAKERY,
BEAN VANILLA PASTE QUART,SYSCO,NIELSON MASSEY,7012878,EACH,1,32 OZ,73.13,7/4/2025,BAKERY,
BREAD FOCACCIA HERB 1/2 SHEET,SYSCO,FIREKING BAKING,7633096,CASE,3,1 CT,29.73,9/24/2025,BAKERY,
BREAD WHEAT .56 INCH SLICED,SYSCO,BAKER'S SOURCE,488581,CASE,12,28 OZ,41.09,8/19/2025,BAKERY,
BREAD WHITE .563 INCH SLICED,SYSCO,BAKER'S SOURCE,2473425,CASE,12,28 OZ,44.01,9/12/2025,BAKERY,
BREADSTICK WHITE 7 INCH - 8 INCH,SYSCO,BAKER'S SOURCE,2451197,CASE,12,12 CT,35.47,9/26/2025,BAKERY,
CAKE CARROT GOURMET 14 CUT 9 INCH,SYSCO,IMPERIAL,6647804,CASE,2,96 OZ,73.86,7/11/2025,BAKERY,
CAKE CHOCOLATE MOUSSE,SYSCO,BROOKLYN CANNOLI,8381475,CASE,1,3.5 LB,30.84,9/26/2025,BAKERY,
CAKE CHOCOLATE ULTIMATE 14 SLICE,SYSCO,IMPERIAL,234534,CASE,2,90 OZ,64.33,9/26/2025,BAKERY,
CAKE LEMON LECHE,SYSCO,IMPERIAL,7209187,CASE,2,8.2 LB,87.93,9/26/2025,BAKERY,
CAKE POUND,SYSCO,BAKER'S SOURCE,1617000,CASE,12,12 OZ,43.45,9/26/2025,BAKERY,
CAKE SHEET TUXEDO TRUFFLE MOUSSE,SYSCO,THE ORIGINAL CAKERIE CO,8554990,CASE,2,185 OZ,151.57,9/19/2025,BAKERY,
CHEESECAKE NEW YORK 16 CUT 10 INCH,SYSCO,IMPERIAL,6648901,CASE,2,64 OZ,45.4,9/26/2025,BAKERY,
"CHEESECAKES ASSORTED BUFFET 14 CUT 8""",SYSCO,CLASSIC,234419,CASE,4,30 OZ,52.38,9/26/2025,BAKERY,
CHOCOLATE CHIPS IMITATION 4000 COUNT,SYSCO,CLASSIC,5340948,CASE,1,10 LB,31.64,10/3/2025,BAKERY,
CHURRO PREEFRIED PLAIN,SYSCO,HOLA CHURRO,1243351,CASE,1,100 CT,50.65,9/26/2025,BAKERY,
COCOA POWDER 10-12% BUTTERFAT,SYSCO,CHEFS COMPANION,5874847,EACH,1,5 LB,50.52,7/11/2025,BAKERY,
COOKIE CHOCOLATE CHIP INDIVIDUALLY WRAPPED 2 OUNCE,SYSCO,BAKER'S SOURCE,105831,CASE,48,2 OZ,31.98,7/11/2025,BAKERY,
COOKIE SNICKERDOODLE GLUTEN-FREE INDIVIDUALLY WRAPPED,SYSCO,UDI'S HEALTHY FOODS,1491352,CASE,36,1.8 OZ,37.7,7/15/2025,BAKERY,
CRACKER GRAHAM HONEY,SYSCO,KELLOGG'S,4008116,CASE,1,10 LB,37.74,7/11/2025,BAKERY,
